GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
ANKZF1	-0.226	4.228	-1.873	9.68E-02	2.18E-01	-5.830	Not significant
HMBS	-0.215	5.519	-1.872	9.70E-02	2.18E-01	-5.832	Not significant
SLFN11	0.225	4.154	1.872	9.71E-02	2.18E-01	-5.832	Not significant
TRMT10C	0.213	5.232	1.870	9.74E-02	2.19E-01	-5.835	Not significant
NXF1	0.219	4.821	1.869	9.75E-02	2.19E-01	-5.836	Not significant
CTSB	0.545	4.829	1.868	9.77E-02	2.19E-01	-5.839	Not significant
APOBEC3C	0.221	4.380	1.867	9.78E-02	2.19E-01	-5.840	Not significant
GGH	-0.237	5.083	-1.868	9.76E-02	2.19E-01	-5.838	Not significant
VCP	-0.240	5.005	-1.867	9.78E-02	2.19E-01	-5.840	Not significant
FUCA2	-0.250	3.683	-1.867	9.77E-02	2.19E-01	-5.839	Not significant
TMPO_P42167	-0.248	4.206	-1.866	9.80E-02	2.19E-01	-5.841	Not significant
TOMM70	0.231	5.182	1.864	9.82E-02	2.20E-01	-5.844	Not significant
SNX27	0.210	5.243	1.864	9.82E-02	2.20E-01	-5.844	Not significant
UQCRQ	-0.234	4.891	-1.865	9.82E-02	2.20E-01	-5.843	Not significant
ATF7IP	-0.254	3.850	-1.863	9.84E-02	2.20E-01	-5.845	Not significant
CMC1	-0.379	4.370	-1.863	9.84E-02	2.20E-01	-5.845	Not significant
PTPN1	0.257	4.718	1.862	9.85E-02	2.20E-01	-5.847	Not significant
MTCH1	0.226	4.739	1.862	9.85E-02	2.20E-01	-5.846	Not significant
NELFCD	0.297	4.178	1.860	9.88E-02	2.20E-01	-5.849	Not significant
MED12	0.244	3.867	1.859	9.90E-02	2.20E-01	-5.851	Not significant
STIM1	-0.215	4.129	-1.858	9.92E-02	2.21E-01	-5.853	Not significant
CPNE3	-0.234	5.111	-1.858	9.92E-02	2.21E-01	-5.853	Not significant
UBE2S	-0.233	4.359	-1.857	9.94E-02	2.21E-01	-5.855	Not significant
TPM3_P06753-2	-0.246	4.573	-1.857	9.94E-02	2.21E-01	-5.855	Not significant
FIP1L1	-0.226	4.958	-1.856	9.95E-02	2.21E-01	-5.856	Not significant
RAB3GAP2	0.222	4.651	1.855	9.96E-02	2.21E-01	-5.857	Not significant
SEC23A	0.324	3.992	1.853	1.00E-01	2.22E-01	-5.861	Not significant
EXOSC7	0.250	5.175	1.853	1.00E-01	2.22E-01	-5.861	Not significant
OLA1	-0.214	5.517	-1.853	1.00E-01	2.22E-01	-5.860	Not significant
NTPCR	-0.221	5.075	-1.853	1.00E-01	2.22E-01	-5.860	Not significant
TAOK3	-0.233	4.873	-1.852	1.00E-01	2.22E-01	-5.861	Not significant
ATIC	-0.254	4.910	-1.851	1.00E-01	2.22E-01	-5.862	Not significant
DDX39B	-0.258	4.609	-1.851	1.00E-01	2.22E-01	-5.863	Not significant
SNX4	-0.319	4.107	-1.849	1.01E-01	2.22E-01	-5.865	Not significant
XPO7	0.261	4.278	1.849	1.01E-01	2.22E-01	-5.867	Not significant
CRK	-0.258	3.683	-1.848	1.01E-01	2.22E-01	-5.867	Not significant
NAAA	0.544	3.571	1.848	1.01E-01	2.23E-01	-5.868	Not significant
REEP5	-0.230	5.821	-1.846	1.01E-01	2.23E-01	-5.871	Not significant
GNB1	-0.232	4.786	-1.844	1.01E-01	2.23E-01	-5.873	Not significant
TTC37	0.237	4.727	1.841	1.02E-01	2.25E-01	-5.878	Not significant
CRKL	-0.242	4.437	-1.840	1.02E-01	2.25E-01	-5.879	Not significant
CNOT3	-0.249	4.523	-1.840	1.02E-01	2.25E-01	-5.879	Not significant
XRN2	0.209	4.675	1.839	1.02E-01	2.25E-01	-5.881	Not significant
FTSJ3	0.230	5.031	1.838	1.02E-01	2.25E-01	-5.882	Not significant
RBM34	-0.212	4.606	-1.835	1.03E-01	2.26E-01	-5.886	Not significant
METAP1	-0.222	4.569	-1.835	1.03E-01	2.26E-01	-5.886	Not significant
ILKAP	-0.243	4.842	-1.835	1.03E-01	2.26E-01	-5.886	Not significant
CHRAC1	-0.372	3.894	-1.834	1.03E-01	2.26E-01	-5.888	Not significant
CSE1L	0.215	5.145	1.834	1.03E-01	2.26E-01	-5.888	Not significant
FAM60A	0.208	3.660	1.832	1.03E-01	2.26E-01	-5.891	Not significant
ARPC5	-0.246	5.686	-1.832	1.03E-01	2.26E-01	-5.891	Not significant
HNRNPA0	-0.237	4.901	-1.829	1.04E-01	2.27E-01	-5.895	Not significant
PNKP	-0.237	4.487	-1.829	1.04E-01	2.27E-01	-5.895	Not significant
PIN4	-0.339	4.991	-1.828	1.04E-01	2.27E-01	-5.897	Not significant
NUTF2	-0.306	5.425	-1.826	1.04E-01	2.28E-01	-5.899	Not significant
SNX17	0.251	4.860	1.826	1.04E-01	2.28E-01	-5.900	Not significant
STAM2	-0.245	4.567	-1.824	1.05E-01	2.28E-01	-5.902	Not significant
MRPS11	-0.403	4.057	-1.824	1.04E-01	2.28E-01	-5.902	Not significant
NDUFV1	-0.231	4.977	-1.824	1.05E-01	2.28E-01	-5.903	Not significant
FES	-0.227	4.234	-1.822	1.05E-01	2.29E-01	-5.905	Not significant
FARSA	-0.214	4.224	-1.822	1.05E-01	2.29E-01	-5.906	Not significant
KARS	0.232	5.209	1.821	1.05E-01	2.29E-01	-5.907	Not significant
TXNRD2	-0.219	4.767	-1.820	1.05E-01	2.29E-01	-5.908	Not significant
MRPL11	-0.229	4.961	-1.820	1.05E-01	2.29E-01	-5.909	Not significant
GLIPR1	-0.212	4.180	-1.818	1.05E-01	2.29E-01	-5.911	Not significant
GCC2	-0.218	3.581	-1.818	1.05E-01	2.29E-01	-5.911	Not significant
RBM12B	-0.245	4.415	-1.819	1.05E-01	2.29E-01	-5.910	Not significant
METTL3	-0.254	4.695	-1.818	1.05E-01	2.29E-01	-5.911	Not significant
SNRPE	-0.240	3.298	-1.817	1.06E-01	2.30E-01	-5.912	Not significant
TM9SF4	0.311	4.193	1.817	1.06E-01	2.30E-01	-5.913	Not significant
WASH2P	-0.213	5.035	-1.816	1.06E-01	2.30E-01	-5.914	Not significant
CARS	-0.220	4.719	-1.816	1.06E-01	2.30E-01	-5.914	Not significant
DPY30	-0.226	5.659	-1.816	1.06E-01	2.30E-01	-5.914	Not significant
PPP6R1	0.256	4.090	1.813	1.06E-01	2.30E-01	-5.918	Not significant
HUWE1	0.237	4.703	1.812	1.07E-01	2.31E-01	-5.920	Not significant
CHMP4B	-0.267	4.859	-1.812	1.07E-01	2.31E-01	-5.920	Not significant
NOL11	0.211	4.616	1.811	1.07E-01	2.31E-01	-5.921	Not significant
KTN1	-0.207	5.492	-1.809	1.07E-01	2.31E-01	-5.924	Not significant
RSL1D1	0.231	5.112	1.808	1.07E-01	2.32E-01	-5.926	Not significant
CCDC25	-0.254	3.914	-1.807	1.07E-01	2.32E-01	-5.927	Not significant
EXOSC4	-0.230	4.996	-1.804	1.08E-01	2.33E-01	-5.932	Not significant
RANBP10	-0.225	3.974	-1.801	1.08E-01	2.34E-01	-5.936	Not significant
DNAJC9	-0.235	4.890	-1.801	1.08E-01	2.34E-01	-5.936	Not significant
GUK1	-0.236	4.983	-1.801	1.08E-01	2.34E-01	-5.935	Not significant
NAA30	0.245	4.474	1.798	1.09E-01	2.34E-01	-5.940	Not significant
POLR1B	0.241	4.395	1.799	1.09E-01	2.34E-01	-5.938	Not significant
WDR36	0.217	4.717	1.798	1.09E-01	2.34E-01	-5.939	Not significant
IPO13	0.207	3.278	1.799	1.09E-01	2.34E-01	-5.939	Not significant
CISD1	-0.222	5.185	-1.800	1.09E-01	2.34E-01	-5.938	Not significant
AP1M1	-0.244	4.702	-1.800	1.09E-01	2.34E-01	-5.937	Not significant
PPP3CA	-0.265	4.994	-1.799	1.09E-01	2.34E-01	-5.939	Not significant
NHLRC2	-0.203	5.173	-1.793	1.10E-01	2.35E-01	-5.947	Not significant
DARS	-0.202	5.006	-1.790	1.10E-01	2.36E-01	-5.951	Not significant
SMC2	-0.205	5.003	-1.789	1.10E-01	2.37E-01	-5.953	Not significant
OSTF1	-0.216	5.213	-1.789	1.10E-01	2.37E-01	-5.953	Not significant
KCTD12	-0.290	3.959	-1.789	1.10E-01	2.37E-01	-5.954	Not significant
RBM28	0.219	4.831	1.787	1.11E-01	2.37E-01	-5.956	Not significant
COPS8	-0.217	4.396	-1.787	1.11E-01	2.37E-01	-5.955	Not significant
ECHS1	-0.231	5.485	-1.787	1.11E-01	2.37E-01	-5.956	Not significant
HTATSF1	-0.234	4.996	-1.787	1.11E-01	2.37E-01	-5.956	Not significant
FCHO2	-0.283	4.112	-1.786	1.11E-01	2.37E-01	-5.957	Not significant
GSK3A	0.231	4.328	1.784	1.11E-01	2.37E-01	-5.960	Not significant
ISOC1	-0.210	4.715	-1.784	1.11E-01	2.37E-01	-5.960	Not significant
GLO1	-0.218	5.112	-1.782	1.12E-01	2.38E-01	-5.963	Not significant
TXNL1	-0.231	4.681	-1.782	1.12E-01	2.38E-01	-5.963	Not significant
RPL12	-0.367	5.228	-1.782	1.12E-01	2.38E-01	-5.963	Not significant
VBP1	-0.210	4.816	-1.781	1.12E-01	2.38E-01	-5.964	Not significant
IDH3G	0.215	5.548	1.781	1.12E-01	2.38E-01	-5.965	Not significant
PRDX1	-0.213	5.805	-1.778	1.12E-01	2.39E-01	-5.968	Not significant
AGPAT2	0.211	4.956	1.776	1.13E-01	2.39E-01	-5.971	Not significant
SMIM20	-0.213	4.835	-1.776	1.13E-01	2.39E-01	-5.972	Not significant
PYCR2	-0.221	5.418	-1.776	1.13E-01	2.39E-01	-5.972	Not significant
DDX46	-0.212	4.914	-1.775	1.13E-01	2.39E-01	-5.972	Not significant
MRPS28	-0.228	5.306	-1.775	1.13E-01	2.39E-01	-5.973	Not significant
ARMC6	0.256	4.817	1.773	1.13E-01	2.40E-01	-5.976	Not significant
MTHFD1L	0.231	4.929	1.773	1.13E-01	2.40E-01	-5.976	Not significant
ACTL6A	-0.210	5.350	-1.773	1.13E-01	2.40E-01	-5.976	Not significant
CRTC2	-0.252	3.751	-1.772	1.13E-01	2.40E-01	-5.977	Not significant
ATAD2B	0.339	4.326	1.770	1.14E-01	2.40E-01	-5.980	Not significant
ATP6AP2	0.225	4.508	1.770	1.14E-01	2.40E-01	-5.980	Not significant
KRI1	0.215	4.541	1.770	1.14E-01	2.40E-01	-5.980	Not significant
ACADS	-0.203	4.795	-1.770	1.14E-01	2.40E-01	-5.980	Not significant
TBC1D23	-0.208	4.695	-1.770	1.14E-01	2.40E-01	-5.980	Not significant
SCAMP1	-0.209	4.873	-1.770	1.14E-01	2.40E-01	-5.980	Not significant
MVK	-0.257	4.309	-1.769	1.14E-01	2.40E-01	-5.982	Not significant
UBR5	0.211	4.297	1.767	1.14E-01	2.41E-01	-5.984	Not significant
WDR26	0.201	4.145	1.767	1.14E-01	2.41E-01	-5.985	Not significant
CPSF3L	0.234	4.830	1.765	1.14E-01	2.41E-01	-5.987	Not significant
UBA2	-0.227	4.752	-1.765	1.14E-01	2.41E-01	-5.987	Not significant
DNAJC11	0.204	4.945	1.763	1.15E-01	2.42E-01	-5.990	Not significant
GEMIN2	-0.211	4.842	-1.762	1.15E-01	2.42E-01	-5.991	Not significant
ATAD1	0.208	4.635	1.760	1.15E-01	2.43E-01	-5.994	Not significant
ACSF3	0.385	3.305	1.759	1.16E-01	2.43E-01	-5.996	Not significant
TXLNG	-0.201	4.931	-1.759	1.16E-01	2.43E-01	-5.996	Not significant
KLC4	-0.210	4.653	-1.759	1.15E-01	2.43E-01	-5.995	Not significant
ARPC3	-0.286	4.819	-1.759	1.16E-01	2.43E-01	-5.996	Not significant
EFL1	0.210	4.400	1.754	1.16E-01	2.44E-01	-6.003	Not significant
TBL3	0.201	4.591	1.754	1.16E-01	2.44E-01	-6.002	Not significant
VAMP7	-0.208	5.241	-1.754	1.17E-01	2.44E-01	-6.004	Not significant
TTC27	0.216	4.545	1.752	1.17E-01	2.45E-01	-6.005	Not significant
HSPD1	-0.219	4.890	-1.749	1.17E-01	2.46E-01	-6.010	Not significant
MSRB2	-0.368	3.903	-1.749	1.17E-01	2.46E-01	-6.010	Not significant
CCDC6	-0.244	4.921	-1.748	1.17E-01	2.46E-01	-6.011	Not significant
CDK2	-0.335	4.417	-1.747	1.18E-01	2.46E-01	-6.014	Not significant
NDUFA12	0.232	5.894	1.745	1.18E-01	2.47E-01	-6.016	Not significant
FKBP3	-0.212	5.137	-1.745	1.18E-01	2.47E-01	-6.016	Not significant
MBD3	-0.198	5.105	-1.742	1.19E-01	2.48E-01	-6.020	Not significant
KIF3B	-0.218	3.933	-1.741	1.19E-01	2.48E-01	-6.021	Not significant
DOCK8	0.221	4.864	1.740	1.19E-01	2.48E-01	-6.022	Not significant
AIMP1	-0.202	5.323	-1.741	1.19E-01	2.48E-01	-6.022	Not significant
CAMK2D	0.202	5.013	1.740	1.19E-01	2.48E-01	-6.023	Not significant
RXRB	-0.230	4.421	-1.738	1.19E-01	2.49E-01	-6.025	Not significant
COG3	0.239	4.691	1.737	1.20E-01	2.49E-01	-6.027	Not significant
FAM136A	-0.218	5.036	-1.737	1.19E-01	2.49E-01	-6.027	Not significant
MYH9	-0.213	5.045	-1.735	1.20E-01	2.49E-01	-6.029	Not significant
CEP41	-0.233	4.818	-1.734	1.20E-01	2.50E-01	-6.032	Not significant
PROSC	-0.234	5.016	-1.734	1.20E-01	2.50E-01	-6.032	Not significant
SHTN1	0.208	4.764	1.733	1.20E-01	2.50E-01	-6.033	Not significant
PSMB8	0.203	4.875	1.733	1.20E-01	2.50E-01	-6.033	Not significant
RFC4	-0.206	4.525	-1.732	1.20E-01	2.50E-01	-6.034	Not significant
VPS45	0.262	4.474	1.730	1.21E-01	2.50E-01	-6.037	Not significant
COG1	0.198	3.949	1.731	1.21E-01	2.50E-01	-6.036	Not significant
SRM	-0.202	5.029	-1.730	1.21E-01	2.50E-01	-6.037	Not significant
RAD50	-0.212	4.961	-1.730	1.21E-01	2.50E-01	-6.037	Not significant
SNTB1	-0.219	4.741	-1.731	1.21E-01	2.50E-01	-6.036	Not significant
SPC25	-0.349	4.543	-1.730	1.21E-01	2.50E-01	-6.037	Not significant
APOO	-0.228	4.260	-1.729	1.21E-01	2.50E-01	-6.039	Not significant
PRMT3	0.209	5.311	1.727	1.21E-01	2.51E-01	-6.041	Not significant
PSD4	-0.209	4.759	-1.725	1.22E-01	2.52E-01	-6.044	Not significant
HEATR3	0.226	4.826	1.724	1.22E-01	2.52E-01	-6.045	Not significant
FGD3	-0.194	4.282	-1.724	1.22E-01	2.52E-01	-6.045	Not significant
CRELD2	-0.236	5.348	-1.724	1.22E-01	2.52E-01	-6.046	Not significant
DHPS	-0.207	4.573	-1.723	1.22E-01	2.52E-01	-6.047	Not significant
NDUFA7	-0.198	5.941	-1.722	1.22E-01	2.52E-01	-6.048	Not significant
RBM8A	-0.198	5.217	-1.722	1.22E-01	2.52E-01	-6.049	Not significant
ARHGDIA	-0.256	5.510	-1.721	1.22E-01	2.52E-01	-6.049	Not significant
RAC2	-0.200	4.709	-1.719	1.23E-01	2.53E-01	-6.052	Not significant
UTP15	0.230	4.742	1.717	1.23E-01	2.54E-01	-6.055	Not significant
ARMC1	-0.212	4.244	-1.717	1.23E-01	2.54E-01	-6.055	Not significant
RBCK1	0.222	4.344	1.715	1.24E-01	2.54E-01	-6.059	Not significant
NCKAP1L	0.237	4.596	1.714	1.24E-01	2.54E-01	-6.060	Not significant
IVD	-0.218	4.707	-1.714	1.24E-01	2.54E-01	-6.060	Not significant
CSTF2	-0.197	4.354	-1.713	1.24E-01	2.55E-01	-6.061	Not significant
SAMD1	-0.217	4.565	-1.711	1.24E-01	2.55E-01	-6.064	Not significant
RABEP1	-0.194	4.265	-1.708	1.25E-01	2.56E-01	-6.068	Not significant
ANXA5	0.193	5.717	1.706	1.25E-01	2.57E-01	-6.071	Not significant
ACO2	-0.202	4.841	-1.705	1.25E-01	2.57E-01	-6.072	Not significant
EDC4	0.212	4.541	1.704	1.26E-01	2.57E-01	-6.074	Not significant
GABPA	0.193	4.706	1.704	1.26E-01	2.57E-01	-6.074	Not significant
GNL3L	0.344	4.054	1.702	1.26E-01	2.58E-01	-6.076	Not significant
CPSF2	0.212	4.783	1.701	1.26E-01	2.58E-01	-6.077	Not significant
OXSM	-0.193	4.494	-1.702	1.26E-01	2.58E-01	-6.076	Not significant
MPP1	-0.196	4.873	-1.702	1.26E-01	2.58E-01	-6.077	Not significant
BECN1	-0.210	4.868	-1.702	1.26E-01	2.58E-01	-6.077	Not significant
SLC4A2	-0.435	3.830	-1.701	1.26E-01	2.58E-01	-6.077	Not significant
ARCN1	0.213	5.182	1.701	1.26E-01	2.58E-01	-6.078	Not significant
NFXL1	0.229	3.722	1.700	1.26E-01	2.58E-01	-6.079	Not significant
PAICS	-0.254	5.482	-1.700	1.26E-01	2.58E-01	-6.080	Not significant
FXR1	-0.209	4.471	-1.698	1.27E-01	2.58E-01	-6.082	Not significant
MSH3	0.265	4.144	1.698	1.27E-01	2.59E-01	-6.083	Not significant
USP14	0.196	5.136	1.695	1.27E-01	2.59E-01	-6.086	Not significant
GNPAT	0.193	5.048	1.695	1.27E-01	2.59E-01	-6.087	Not significant
CYB5R4	-0.253	4.310	-1.693	1.28E-01	2.60E-01	-6.089	Not significant
RHEB	-0.282	4.844	-1.693	1.28E-01	2.60E-01	-6.090	Not significant
MGA	-0.219	3.303	-1.692	1.28E-01	2.60E-01	-6.091	Not significant
ARHGAP30	0.200	4.178	1.689	1.29E-01	2.61E-01	-6.095	Not significant
NBN	0.195	4.446	1.689	1.29E-01	2.61E-01	-6.095	Not significant
CCM2	-0.230	4.325	-1.689	1.29E-01	2.61E-01	-6.095	Not significant
LMAN2L	-0.278	4.373	-1.689	1.29E-01	2.61E-01	-6.095	Not significant
CYB5R1	0.283	4.006	1.687	1.29E-01	2.61E-01	-6.097	Not significant
EIF2S2	0.193	5.099	1.685	1.29E-01	2.62E-01	-6.101	Not significant
GAR1	0.232	5.398	1.683	1.30E-01	2.63E-01	-6.103	Not significant
CREBBP	0.274	3.257	1.682	1.30E-01	2.63E-01	-6.104	Not significant
GLRX3	0.191	5.446	1.680	1.30E-01	2.64E-01	-6.108	Not significant
NSFL1C	-0.208	4.118	-1.679	1.31E-01	2.64E-01	-6.109	Not significant
NUMB	0.254	4.379	1.678	1.31E-01	2.64E-01	-6.111	Not significant
CRELD1	-0.250	4.141	-1.678	1.31E-01	2.64E-01	-6.111	Not significant
GNB2	-0.253	4.502	-1.677	1.31E-01	2.65E-01	-6.112	Not significant
HSD17B12	0.195	4.702	1.675	1.31E-01	2.65E-01	-6.114	Not significant
ALOX5	0.343	4.176	1.674	1.32E-01	2.65E-01	-6.116	Not significant
COG2	0.245	4.643	1.674	1.32E-01	2.65E-01	-6.116	Not significant
CDK12	0.245	5.060	1.674	1.32E-01	2.65E-01	-6.116	Not significant
CDC37	-0.231	5.602	-1.673	1.32E-01	2.65E-01	-6.117	Not significant
CCDC94	0.222	3.449	1.670	1.32E-01	2.66E-01	-6.121	Not significant
BAG6	-0.193	3.877	-1.670	1.32E-01	2.66E-01	-6.121	Not significant
YES1	-0.203	4.176	-1.671	1.32E-01	2.66E-01	-6.120	Not significant
ENOSF1	-0.213	4.768	-1.670	1.32E-01	2.66E-01	-6.121	Not significant
WDR3	0.241	5.091	1.669	1.33E-01	2.66E-01	-6.122	Not significant
SF3B2	-0.191	5.097	-1.669	1.33E-01	2.67E-01	-6.123	Not significant
DENR	-0.190	5.523	-1.667	1.33E-01	2.67E-01	-6.125	Not significant
NUP54	-0.192	4.755	-1.668	1.33E-01	2.67E-01	-6.125	Not significant
RABGAP1L	-0.242	4.274	-1.667	1.33E-01	2.67E-01	-6.126	Not significant
THEM6	-0.254	3.920	-1.667	1.33E-01	2.67E-01	-6.126	Not significant
HSPA14	-0.207	5.045	-1.666	1.33E-01	2.67E-01	-6.127	Not significant
RAD23B	-0.302	4.256	-1.665	1.33E-01	2.67E-01	-6.128	Not significant
HK2	0.222	4.545	1.663	1.34E-01	2.68E-01	-6.131	Not significant
SEC23IP	0.208	4.731	1.660	1.34E-01	2.69E-01	-6.135	Not significant
RPL23A	-0.197	5.582	-1.660	1.34E-01	2.69E-01	-6.135	Not significant
CYCS	-0.192	5.146	-1.659	1.35E-01	2.69E-01	-6.137	Not significant
ADGRL3	-0.251	4.294	-1.657	1.35E-01	2.70E-01	-6.139	Not significant
SMARCB1	-0.201	4.623	-1.656	1.35E-01	2.70E-01	-6.140	Not significant
DAP3	0.198	5.065	1.655	1.35E-01	2.71E-01	-6.142	Not significant
IPO8	0.223	4.252	1.650	1.36E-01	2.72E-01	-6.149	Not significant
RTN3	-0.255	5.527	-1.650	1.36E-01	2.72E-01	-6.149	Not significant
PPP2R1B	0.274	4.735	1.649	1.37E-01	2.73E-01	-6.151	Not significant
GRSF1	0.278	4.227	1.647	1.37E-01	2.73E-01	-6.153	Not significant
LGALS1	-0.194	4.853	-1.647	1.37E-01	2.73E-01	-6.153	Not significant
STAM	-0.280	4.793	-1.647	1.37E-01	2.73E-01	-6.153	Not significant
USP36	0.228	4.008	1.645	1.38E-01	2.74E-01	-6.156	Not significant
XPO1	0.203	5.153	1.644	1.38E-01	2.74E-01	-6.157	Not significant
C2CD2L	0.207	4.429	1.643	1.38E-01	2.74E-01	-6.159	Not significant
PRRC2C	0.192	5.159	1.643	1.38E-01	2.74E-01	-6.159	Not significant
GLTP	-0.215	4.480	-1.643	1.38E-01	2.74E-01	-6.158	Not significant
DNAJC10	-0.188	4.192	-1.643	1.38E-01	2.74E-01	-6.159	Not significant
NIT2	-0.195	5.221	-1.642	1.38E-01	2.74E-01	-6.160	Not significant
STK10	0.187	4.779	1.641	1.38E-01	2.74E-01	-6.161	Not significant
CAPZA1	-0.191	4.426	-1.641	1.38E-01	2.74E-01	-6.161	Not significant
PTBP3	-0.206	4.100	-1.641	1.38E-01	2.74E-01	-6.162	Not significant
HSPA8	0.188	5.154	1.639	1.39E-01	2.75E-01	-6.164	Not significant
SHMT2	-0.209	4.881	-1.640	1.39E-01	2.75E-01	-6.164	Not significant
CTAGE5	0.186	4.103	1.638	1.39E-01	2.75E-01	-6.165	Not significant
SERPINB1	0.222	5.184	1.638	1.39E-01	2.75E-01	-6.166	Not significant
KLC1	0.217	5.243	1.638	1.39E-01	2.75E-01	-6.166	Not significant
C17orf62	0.219	5.757	1.637	1.39E-01	2.75E-01	-6.167	Not significant
TUBB	-0.192	4.860	-1.636	1.39E-01	2.75E-01	-6.169	Not significant
AP2M1	-0.201	5.204	-1.636	1.39E-01	2.75E-01	-6.168	Not significant
NEURL4	0.239	3.671	1.633	1.40E-01	2.76E-01	-6.173	Not significant
IQGAP3	-0.196	3.538	-1.633	1.40E-01	2.76E-01	-6.173	Not significant
CDK5RAP2	-0.267	3.388	-1.633	1.40E-01	2.76E-01	-6.173	Not significant
RBMX	-0.234	4.694	-1.632	1.40E-01	2.76E-01	-6.174	Not significant
SS18	-0.184	4.971	-1.631	1.40E-01	2.77E-01	-6.175	Not significant
SNW1	-0.189	5.078	-1.630	1.41E-01	2.77E-01	-6.176	Not significant
MED18	-0.184	5.731	-1.629	1.41E-01	2.77E-01	-6.178	Not significant
RAP1B	-0.198	5.800	-1.628	1.41E-01	2.78E-01	-6.179	Not significant
GSTM1	-0.243	5.960	-1.628	1.41E-01	2.78E-01	-6.180	Not significant
GOLM1	-0.207	5.026	-1.627	1.41E-01	2.78E-01	-6.180	Not significant
TGFB1	0.331	4.542	1.626	1.42E-01	2.78E-01	-6.182	Not significant
RDH13	-0.204	4.913	-1.626	1.42E-01	2.78E-01	-6.182	Not significant
LZIC	-0.221	4.858	-1.625	1.42E-01	2.78E-01	-6.184	Not significant
KAT7	-0.243	4.306	-1.623	1.42E-01	2.79E-01	-6.186	Not significant
AASDHPPT	-0.184	5.006	-1.622	1.42E-01	2.79E-01	-6.187	Not significant
ZDHHC5	-0.301	3.447	-1.621	1.43E-01	2.79E-01	-6.189	Not significant
KPNA2	0.187	4.522	1.621	1.43E-01	2.80E-01	-6.190	Not significant
MAGOH	0.201	5.575	1.620	1.43E-01	2.80E-01	-6.191	Not significant
CEP170	0.250	5.159	1.619	1.43E-01	2.80E-01	-6.191	Not significant
CLIP1	0.185	4.525	1.618	1.43E-01	2.80E-01	-6.193	Not significant
MRM3	0.187	4.616	1.618	1.43E-01	2.80E-01	-6.193	Not significant
STK3	0.273	4.809	1.617	1.43E-01	2.81E-01	-6.195	Not significant
NECAP2	0.184	5.074	1.616	1.44E-01	2.81E-01	-6.196	Not significant
COX20	-0.342	4.204	-1.616	1.44E-01	2.81E-01	-6.196	Not significant
HBA1	-0.248	3.888	-1.615	1.44E-01	2.81E-01	-6.198	Not significant
SEMA4A	0.284	4.622	1.614	1.44E-01	2.81E-01	-6.198	Not significant
MRPL57	-0.207	5.826	-1.613	1.44E-01	2.81E-01	-6.200	Not significant
ATP6AP1	0.185	5.262	1.613	1.44E-01	2.82E-01	-6.200	Not significant
RPL18	0.192	5.980	1.612	1.45E-01	2.82E-01	-6.201	Not significant
RPN1	-0.185	5.242	-1.612	1.45E-01	2.82E-01	-6.201	Not significant
EIF5A	-0.226	5.710	-1.611	1.45E-01	2.82E-01	-6.203	Not significant
GPX4	0.207	5.095	1.609	1.45E-01	2.83E-01	-6.206	Not significant
MRPS2	0.198	4.543	1.609	1.45E-01	2.83E-01	-6.206	Not significant
GSTO1	0.197	5.047	1.607	1.46E-01	2.83E-01	-6.208	Not significant
DAGLB	-0.244	4.022	-1.607	1.46E-01	2.83E-01	-6.208	Not significant
MED4	-0.233	4.108	-1.606	1.46E-01	2.83E-01	-6.209	Not significant
SDHAF4	-0.219	5.333	-1.606	1.46E-01	2.83E-01	-6.210	Not significant
EEF2	0.182	5.076	1.604	1.46E-01	2.84E-01	-6.212	Not significant
IRF5	0.182	4.907	1.604	1.46E-01	2.84E-01	-6.212	Not significant
SLC4A1AP	-0.198	4.739	-1.604	1.46E-01	2.84E-01	-6.213	Not significant
RPS18	-0.199	4.868	-1.603	1.46E-01	2.84E-01	-6.213	Not significant
PHF21A	-0.270	3.703	-1.603	1.47E-01	2.84E-01	-6.214	Not significant
GALNT7	-0.192	5.375	-1.602	1.47E-01	2.84E-01	-6.215	Not significant
ATG3	-0.194	4.345	-1.602	1.47E-01	2.84E-01	-6.215	Not significant
ITCH	0.213	4.211	1.601	1.47E-01	2.84E-01	-6.216	Not significant
VAV2	-0.182	3.869	-1.600	1.47E-01	2.85E-01	-6.218	Not significant
NUS1	0.214	4.905	1.599	1.47E-01	2.85E-01	-6.219	Not significant
CCT2	-0.185	4.936	-1.599	1.47E-01	2.85E-01	-6.219	Not significant
MLLT1	-0.263	3.995	-1.599	1.47E-01	2.85E-01	-6.219	Not significant
GRN	-0.189	4.738	-1.598	1.48E-01	2.85E-01	-6.220	Not significant
CHTF8	-0.252	4.148	-1.598	1.48E-01	2.85E-01	-6.220	Not significant
MSRA	-0.200	5.331	-1.593	1.49E-01	2.87E-01	-6.228	Not significant
METTL16	0.194	3.957	1.588	1.50E-01	2.89E-01	-6.234	Not significant
TIMM9	-0.180	5.272	-1.589	1.50E-01	2.89E-01	-6.233	Not significant
ACOT1	-0.188	4.504	-1.589	1.50E-01	2.89E-01	-6.233	Not significant
RCSD1	-0.195	4.553	-1.588	1.50E-01	2.89E-01	-6.235	Not significant
BUD13	-0.216	4.387	-1.588	1.50E-01	2.89E-01	-6.234	Not significant
MAP2K2	-0.217	4.641	-1.588	1.50E-01	2.89E-01	-6.234	Not significant
